"METRIC","REDUND_MET"
"gregTol_TL23PTAX","TL23NTAX,TL23PTAX,gregTol_TL23NTAX"
"gregTol_TL45NTAX","FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX"
"gregTol_TL45PIND","NTOLPIND,TL45PIND,gregTol_NTOLPIND"
"gregTol_TL45PTAX","TL45PTAX"
"gregTol_TL67NTAX","TL67NTAX"
"gregTol_TL67PIND","NTOLPIND,TL45PIND,TL67PIND,gregTol_NTOLPIND"
"gregTol_TL67PTAX","NTOLPTAX,TL67PTAX,gregTol_NTOLPTAX"
"gregTol_TOLRNTAX","TOLRNTAX"
"gregTol_TOLRPIND","FACLPIND,TOLRPIND,gregTol_FACLPIND"
"gregTol_TOLRPTAX","FACLPTAX,TOLRPTAX,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
"gregTol_WTD_TV","NTOLPIND,WTD_TV,gregTol_NTOLPIND,Genus.HBI,gregTol_Genus.HBI"
"Genus.HBI","NTOLPIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,gregTol_Genus.HBI"
"BCGatt2.3","NTOLNTAX,gregTol_NTOLNTAX,X.BCGatt2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3"
"X.BCGatt2.3","X.EPT45,gregTol_.EPT45,BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"BCGatt5","X.BCGatt5,gregTol_BCGatt5,gregTol_.BCGatt5"
"X.BCGatt5","BCGatt5,gregTol_BCGatt5,gregTol_.BCGatt5"
"X.BCG_DO_att2.3","X.BCG_totHab_att2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_totHab_att2.3"
"X.BCG_DO_att5","gregTol_.BCG_DO_att5"
