"METRIC","REDUND_MET"
"TL67NTAX","gregTol_TL67NTAX"
"TL67PIND","gregTol_TL67PIND"
"TL67PTAX","NTOLPTAX,TL45PTAX,gregTol_NTOLPTAX,gregTol_TL67PTAX"
"TOLRNTAX","gregTol_TOLRNTAX"
"TOLRPIND","FACLPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
"TOLRPTAX","FACLPTAX,NTOLPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
"WTD_TV","NTOLPIND,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"gregTol_FACLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX"
"gregTol_FACLPIND","FACLPIND,TOLRPIND,gregTol_TOLRPIND"
"gregTol_FACLPTAX","FACLPTAX,TOLRPTAX,gregTol_TOLRPTAX"
"gregTol_INTLNTAX","TL23NTAX,TL23PTAX,gregTol_INTLPTAX,gregTol_TL23NTAX"
"gregTol_INTLPIND","TL23PIND"
"gregTol_INTLPTAX","TL23NTAX,TL23PTAX,gregTol_INTLNTAX"
"gregTol_NTOLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"gregTol_NTOLPIND","NTOLPIND,TL45PIND,WTD_TV,gregTol_TL45PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"gregTol_NTOLPTAX","FACLPTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,TL67PTAX,TOLRPTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,gregTol_TL45PTAX,gregTol_TL67PTAX,gregTol_TOLRPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_STOLNTAX","STOLNTAX,STOLPTAX,gregTol_STOLPTAX"
"gregTol_STOLPIND","STOLPIND"
"gregTol_STOLPTAX","STOLNTAX,STOLPTAX,gregTol_STOLNTAX,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
"gregTol_TL01NTAX","gregTol_TL01PTAX"
"gregTol_TL01PIND",""
"gregTol_TL01PTAX","gregTol_TL01NTAX"
"gregTol_TL23NTAX","TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_TL23PTAX"
"gregTol_TL23PIND",""
"gregTol_TL23PTAX","TL23NTAX,TL23PTAX,gregTol_TL23NTAX"
"gregTol_TL45NTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45PTAX"
"gregTol_TL45PIND","NTOLPIND,TL45PIND,gregTol_NTOLPIND"
