"METRIC","REDUND_MET"
"TL45NTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45PTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,CLNGNTAX"
"TL45PIND","NTOLPIND,TL67PIND,WTD_TV,gregTol_NTOLPIND,gregTol_TL45PIND,gregTol_TL67PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"TL45PTAX","FACLPTAX,NTOLPTAX,TL45NTAX,TL67PTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_TL45PTAX,gregTol_TL67PTAX,gregTol_TOLRPTAX"
"TL67NTAX","gregTol_TL67NTAX"
"TL67PIND","NTOLPIND,TL45PIND,gregTol_NTOLPIND,gregTol_TL45PIND,gregTol_TL67PIND"
"TL67PTAX","NTOLPTAX,TL45PTAX,gregTol_NTOLPTAX,gregTol_TL67PTAX"
"TOLRNTAX","gregTol_TOLRNTAX"
"TOLRPIND","FACLPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
"TOLRPTAX","X.EPT65,gregTol_.EPT65,FACLPTAX,NTOLPTAX,STOLPTAX,TL45PTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCG_spCond_att5,X.BCG_TNTP_att5,X.BCG_totHab_att5,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCG_spCond_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_totHab_att5,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"WTD_TV","X.EPT.H.C,gregTol_.EPT.H.C,NTOLPIND,TL45PIND,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"gregTol_FACLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,CLNGNTAX"
"gregTol_FACLPIND","FACLPIND,TOLRPIND,gregTol_TOLRPIND"
"gregTol_FACLPTAX","FACLPTAX,TL45PTAX,TOLRPTAX,gregTol_TOLRPTAX"
"gregTol_INTLNTAX","TL23NTAX,TL23PTAX,gregTol_INTLPTAX,gregTol_TL23NTAX"
"gregTol_INTLPIND","TL23PIND"
"gregTol_INTLPTAX","TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_TL23PTAX"
"gregTol_NTOLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"gregTol_NTOLPIND","X.EPT.H.C,gregTol_.EPT.H.C,NTOLPIND,TL45PIND,TL67PIND,WTD_TV,gregTol_TL45PIND,gregTol_TL67PIND,gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"gregTol_NTOLPTAX","X.EPT65,gregTol_.EPT45,gregTol_.EPT65,FACLPTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,TL67PTAX,TOLRPTAX,gregTol_NTOLNTAX,gregTol_TL45PTAX,gregTol_TL67PTAX,gregTol_TOLRPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_STOLNTAX","STOLNTAX"
"gregTol_STOLPIND","STOLPIND"
"gregTol_STOLPTAX","STOLPTAX,TOLRPTAX,gregTol_TOLRPTAX,X.BCGatt5,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCGatt5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att5"
"gregTol_TL01NTAX","INTLNTAX,INTLPTAX,gregTol_TL01PTAX"
"gregTol_TL01PIND","INTLPIND"
"gregTol_TL01PTAX","INTLNTAX,INTLPTAX,gregTol_TL01NTAX"
"gregTol_TL23NTAX","X.EPT45,gregTol_.EPT45,TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_TL23PTAX,BCGatt2.3,gregTol_BCGatt2.3"
"gregTol_TL23PIND",""
"gregTol_TL23PTAX","X.EPT45,gregTol_.EPT45,TL23NTAX,TL23PTAX,gregTol_INTLPTAX,gregTol_TL23NTAX"
"gregTol_TL45NTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX"
"gregTol_TL45PIND","NTOLPIND,TL45PIND,TL67PIND,gregTol_NTOLPIND,gregTol_TL67PIND"
